terrain,walkaid,n_trials,cadence_steps_min_mean,stride_mean_s_mean,stride_cv_mean,stance_mean_pct_mean,swing_mean_pct_mean,cadence_steps_min_std,stride_mean_s_std,stride_cv_std,stance_mean_pct_std,swing_mean_pct_std
CS,with_aid,5,70.214,1.728,0.101,63.788,36.212,8.091,0.21,0.048,4.396,4.396
CS,without_aid,4,93.642,1.282,0.066,54.375,45.625,1.272,0.017,0.015,0.158,0.158
STEP_MULTI,unknown,29,87.253,1.407,0.14,55.858,44.142,14.516,0.199,0.055,7.949,7.949
flat,w0,4,99.018,1.212,0.083,54.098,45.902,1.774,0.022,0.033,1.869,1.869
flat,with_aid,35,95.09,1.284,0.053,55.027,44.973,15.48,0.142,0.033,4.509,4.509
flat,without_aid,30,94.497,1.278,0.044,54.454,45.546,7.772,0.107,0.038,4.417,4.417
grass,with_aid,14,107.804,1.271,0.093,55.476,44.524,49.904,0.38,0.064,4.954,4.954
grass,without_aid,25,103.873,1.219,0.078,50.262,49.738,31.721,0.226,0.043,15.515,15.515
gravel,with_aid,16,84.298,1.499,0.087,58.796,41.204,24.023,0.289,0.052,5.774,5.774
gravel,without_aid,23,89.739,1.38,0.089,53.155,46.845,19.671,0.208,0.069,15.027,15.027
slope,with_aid,49,90.823,1.344,0.058,54.954,45.046,14.598,0.155,0.043,5.202,5.202
slope,without_aid,61,94.406,1.284,0.064,53.182,46.818,9.035,0.147,0.071,7.859,7.859
stair,with_aid,51,76.922,1.646,0.151,62.045,37.955,18.104,0.435,0.086,6.311,6.311
stair,without_aid,68,87.135,1.416,0.141,57.562,42.438,17.513,0.215,0.075,6.542,6.542
uneven,with_aid,44,90.116,1.337,0.066,56.42,43.58,6.157,0.088,0.033,3.671,3.671
uneven,without_aid,48,95.95,1.263,0.075,52.884,47.116,9.988,0.121,0.047,10.98,10.98
